"Fast first order indexes"		
"                    "	"                 sum"	"                peak"
"          fieldCapac"	0.02	0.03
"             initSat"	0.11	0.1
"          thetaTrace"	0.03	0.03
"              kdepth"	0.04	0.04
"                ksat"	0.13	0.14
"                 phi"	0.09	0.07
"           SoilDepth"	0.01	0.02
"             vanGenN"	0.03	0.02
"            resTheta"	0.03	0.03
"                 PLE"	0.02	0.03
"                 koc"	0.02	0.02
"                  kf"	0.02	0.02
"     PercentOnGround"	0.02	0.03
		
"Fast total order Indexes"		
"                    "	"                 sum"	"                peak"
"          fieldCapac"	0.71	0.76
"             initSat"	0.6	0.62
"          thetaTrace"	0.86	0.86
"              kdepth"	0.87	0.87
"                ksat"	0.66	0.73
"                 phi"	0.88	0.88
"           SoilDepth"	0.45	0.6
"             vanGenN"	0.51	0.48
"            resTheta"	0.78	0.78
"                 PLE"	0.65	0.77
"                 koc"	0.62	0.54
"                  kf"	0.7	0.62
"     PercentOnGround"	0.82	0.83
